SN,Date,Confirmed_cases_total,Confirmed_cases_new,Confirmed _cases_active,Recoveries_total,Recoveries_daily,Deaths_total,Deaths_daily,RT-PCR_tests_total,RT-PCR_tests_daily,Test_positivity_rate,Recovery_rate,Case_fatality_rate
1,23-Jan,1,1,1,0,0,0,0,,,,0.00,0.00
2,24-Jan,1,0,1,0,0,0,0,,,,0.00,0.00
3,25-Jan,1,0,1,0,0,0,0,,,,0.00,0.00
4,26-Jan,1,0,1,0,0,0,0,,,,0.00,0.00
5,27-Jan,1,0,1,0,0,0,0,,,,0.00,0.00
6,28-Jan,1,0,1,0,0,0,0,3,,33.33,0.00,0.00
7,29-Jan,1,0,0,1,1,0,0,4,1,25.00,100.00,0.00
8,30-Jan,1,0,0,1,0,0,0,5,1,20.00,100.00,0.00
9,31-Jan,1,0,0,1,0,0,0,5,0,20.00,100.00,0.00
10,1-Feb,1,0,0,1,0,0,0,,,,100.00,0.00
11,2-Feb,1,0,0,1,0,0,0,5,,20.00,100.00,0.00
12,3-Feb,1,0,0,1,0,0,0,,,,100.00,0.00
13,4-Feb,1,0,0,1,0,0,0,14,,7.14,100.00,0.00
14,5-Feb,1,0,0,1,0,0,0,14,0,7.14,100.00,0.00
15,6-Feb,1,0,0,1,0,0,0,18,4,5.56,100.00,0.00
16,7-Feb,1,0,0,1,0,0,0,18,0,5.56,100.00,0.00
17,8-Feb,1,0,0,1,0,0,0,,,,100.00,0.00
18,9-Feb,1,0,0,1,0,0,0,18,,5.56,100.00,0.00
19,10-Feb,1,0,0,1,0,0,0,18,0,5.56,100.00,0.00
20,11-Feb,1,0,0,1,0,0,0,18,0,5.56,100.00,0.00
21,12-Feb,1,0,0,1,0,0,0,20,2,5.00,100.00,0.00
22,13-Feb,1,0,0,1,0,0,0,24,4,4.17,100.00,0.00
23,14-Feb,1,0,0,1,0,0,0,24,0,4.17,100.00,0.00
24,15-Feb,1,0,0,1,0,0,0,,,,100.00,0.00
25,16-Feb,1,0,0,1,0,0,0,34,,2.94,100.00,0.00
26,17-Feb,1,0,0,1,0,0,0,34,0,2.94,100.00,0.00
27,18-Feb,1,0,0,1,0,0,0,35,1,2.86,100.00,0.00
28,19-Feb,1,0,0,1,0,0,0,210,175,0.48,100.00,0.00
29,20-Feb,1,0,0,1,0,0,0,212,2,0.47,100.00,0.00
30,21-Feb,1,0,0,1,0,0,0,,,,100.00,0.00
31,22-Feb,1,0,0,1,0,0,0,,,,100.00,0.00
32,23-Feb,1,0,0,1,0,0,0,216,,0.46,100.00,0.00
33,24-Feb,1,0,0,1,0,0,0,217,1,0.46,100.00,0.00
34,25-Feb,1,0,0,1,0,0,0,217,0,0.46,100.00,0.00
35,26-Feb,1,0,0,1,0,0,0,221,4,0.45,100.00,0.00
36,27-Feb,1,0,0,1,0,0,0,221,0,0.45,100.00,0.00
37,28-Feb,1,0,0,1,0,0,0,224,3,0.45,100.00,0.00
38,29-Feb,1,0,0,1,0,0,0,,,,100.00,0.00
39,1-Mar,1,0,0,1,0,0,0,243,,0.41,100.00,0.00
40,2-Mar,1,0,0,1,0,0,0,425,182,0.24,100.00,0.00
41,3-Mar,1,0,0,1,0,0,0,433,8,0.23,100.00,0.00
42,4-Mar,1,0,0,1,0,0,0,433,0,0.23,100.00,0.00
43,5-Mar,1,0,0,1,0,0,0,,,,100.00,0.00
44,6-Mar,1,0,0,1,0,0,0,437,,0.23,100.00,0.00
45,7-Mar,1,0,0,1,0,0,0,,,,100.00,0.00
46,8-Mar,1,0,0,1,0,0,0,,,,100.00,0.00
47,9-Mar,1,0,0,1,0,0,0,,,,100.00,0.00
48,10-Mar,1,0,0,1,0,0,0,445,,0.22,100.00,0.00
49,11-Mar,1,0,0,1,0,0,0,447,2,0.22,100.00,0.00
50,12-Mar,1,0,0,1,0,0,0,450,3,0.22,100.00,0.00
51,13-Mar,1,0,0,1,0,0,0,456,6,0.22,100.00,0.00
52,14-Mar,1,0,0,1,0,0,0,,,,100.00,0.00
53,15-Mar,1,0,0,1,0,0,0,467,,0.21,100.00,0.00
54,16-Mar,1,0,0,1,0,0,0,478,11,0.21,100.00,0.00
55,17-Mar,1,0,0,1,0,0,0,496,18,0.20,100.00,0.00
56,18-Mar,1,0,0,1,0,0,0,512,16,0.20,100.00,0.00
57,19-Mar,1,0,0,1,0,0,0,529,17,0.19,100.00,0.00
58,20-Mar,1,0,0,1,0,0,0,546,17,0.18,100.00,0.00
59,21-Mar,1,0,0,1,0,0,0,,,,100.00,0.00
60,22-Mar,1,0,0,1,0,0,0,572,,0.17,100.00,0.00
61,23-Mar,2,1,1,1,0,0,0,610,38,0.33,50.00,0.00
62,24-Mar,2,0,1,1,0,0,0,610,0,0.33,50.00,0.00
63,25-Mar,3,1,2,1,0,0,0,687,77,0.44,33.33,0.00
64,26-Mar,3,0,2,1,0,0,0,758,71,0.40,33.33,0.00
